code,name
6S,瑞郎
6N,纽元
HE,瘦猪
PA,钯金
M6A,微型澳币
M6E,微型欧元
M6B,微型英镑
LE,活牛
NG,天然气
GF,饲牛
6J_S,日元S
6E_S,欧元S
ES_S,小标普S
6N_C,纽元看涨
6N_P,纽元看跌
SIR,印度卢比
NKD_S,日经225S
SR1,一个月SOFR
OMG_C,微型黄金月看涨
OMG_P,微型黄金月看跌
CNH_S,美元/离岸人民币S
MNG,微型天然气
STN,微型10年超长期美国国债
MUB,微型30年超长期美国国债
ZF,5年国债
ZC,玉米
XK,小大豆
ZM,豆粕
ZS,大豆
ZN,10年国债
XW,小小麦
ZB,30年国债
ZO,燕麦
XC,小玉米
ZT,2年国债
ZW,小麦
YM,小道指
ZR,糙米
ZL,豆油
ZL_S,豆油S
ZS_S,大豆S
ZC_S,玉米S
OZS_P,大豆看跌
OZS_C,大豆看涨
OZL_P,豆油看跌
OZL_C,豆油看涨
OZM_P,豆粕看跌
OZM_C,豆粕看涨
OZC_P,玉米看跌
OZC_C,玉米看涨
ZM_S,豆粕S
ZW_S,小麦S
OYM_C,小道指看涨
OYM_P,小道指看跌
OZW_C,小麦看涨
OZW_P,小麦看跌
YM_S,小道指S
ZN_S,10年国债S
ZT_S,2年国债S
ZB_S,30年国债S
ZF_S,5年国债S
TN,超长10年国债
UB,超长30年国债
MWE,硬红春小麦
Z3N,3年国债
2YY,微型2年国债收益
5YY,微型5年国债收益
10Y,微型10年国债收益
30Y,微型30年国债收益
MYM,微型迷你道指
ZO_S,燕麦S
KE,硬冬红麦
DG,迪拜黄金
DL-i,境内-铁矿石
DL-a,境内-豆一
DL-b,境内-豆二
DL-m,境内-豆粕
DL-y,境内-豆油
DL-p,境内-棕榈油
OQB,阿曼原油TAM
OQD_S,阿曼原油S
OQD,阿曼原油
C-YG,小黄金
C-YI,小白银
MHI,小恒指
HSI,恒指
HHI,国企指数
MCH,小国企指数
HHI_S,国企指数S
HSI_S,恒指S
CHH,中华120
CUS,人民币期货
MHI_S,小恒指S
CUS_C,人民币看涨
CUS_P,人民币看跌
CUS_S,人民币期货S
MCH_S,小国企指数S
LRA,小伦铝(RMB)
LRC,小伦铜(RMB)
LRZ,小伦锌(RMB)
GTI,博彩业指数
MBI,内银指数
MPI,内房指数
MOI,内油指数
SSI,软件指数
ITI,IT器材指数
MCI,藥业指数
CEU,欧元兑人民币
CJP,日元兑人民币
CAU,澳元兑人民币
UCN,人民币兑美元
MXJ,MXJ指数
GAH,吉利汽车个股
GLX,银河娱乐个股
LNK,领展信托基金个股
MIU,小米集团个股
COL,中国海外发展个股
SAN,金沙中国个股
ACC,海螺水泥个股
CPI,太平洋保险个股
MTR,香港铁路个股
CIT,中国中信个股
CPA,国泰航空个股
CPC,中石油个股
LIF,利丰有限公司个股
CTC,中国电信个股
CHU,中国联合网络通信个股
PEC,中国石油天然气个股
CNC,中国海洋石油个股
HNP,华能国际电力个股
CSE,中国神华能源个股
YZC,兖矿能源集团股份个股
CCC,中国交通建设个股
CCE,中国中煤能源个股
HTS,华泰证券个股
HAI,海通证券个股
CTS,中信证券个股
EVG,中国恒大个股
CHO,中海油田服务个股
HCF,恒生中企基金个股
TRF,盈富基金个股
SNO,舜宇光学个股
GWM,长城汽车个股
GAC,广州汽车个股
AAC,瑞声科技个股
COG,碧桂园控股个股
MSB,中国民生银行个股
PIC,中国人民财产保险个股
BOC,中银香港个股
ALC,中国铝业个股
CLI,中国人寿保险个股
ZJM,紫金矿业集团个股
SUN,融创中国个股
BCM,交通银行个股
CGN,中广核电力个股
CRR,中国中车个股
CDA,中国信达资管个股
NCL,新华人寿保险个股
AIA,友邦保险个股
ABC,中国农业银行个股
SOA,中国南方航空个股
CTB,中信银行个股
SMC,中芯国际个股
TWR,中国铁塔个股
KSO,金山软件个股
CMB,招商银行个股
BCL,中国银行个股
SHK,新鸿基地产个股
FOS,复星国际个股
CKH,长江和记个股
CLP,中电控股个股
HKG,香港中华煤气个股
WHL,九龙仓集团个股
HEH,电能实业个股
HSB,恒生银行个股
HLD,恒基兆业个股
NWD,新世界发展个股
SWA,太古股份个股
BEA,东亚银行个股
MET,美团点评个股
HTI,恒生科技指数
BLI,哔哩哔哩个股
JDC,京东集团个股
BUD,百威亚太控股个股
SIU,美元白银
MCN,MCN指数
MSN,MSN指数
MVN,MVN指数
MPN,MPN指数
EMN,EMN指数
MAN,MAN指数
EAN,EAN指数
MIN,MIN指数
MDN,MDN指数
MJU,MJU指数
MMN,MMN指数
MTW,MTW指数
MWN,MWN指数
MTN,MTN指数
ALB,阿里巴巴个股
UIN,印度卢比兑美元
CIN,印度卢比兑人民币
LUA,小伦铝(USD)
LUC,小伦铜(USD)
LUZ,小伦锌(USD)
LUP,小伦铅(USD)
LUS,小伦锡(USD)
LUN,小伦镍(USD)
HSI_C_W,恒指周看涨
HSI_P_W,恒指周看跌
HHI_C_W,国企周看涨
HHI_P_W,国企周看跌
MHI_C,小恒指看涨
MHI_P,小恒指看跌
MCH_C,小国企指数看涨
MCH_P,小国企指数看跌
HHT,国企总股息指数
HHN,国企净股息指数
FEM,铁矿石
FEQ,铁矿石季月
LRN,小伦镍(RMB)
LRS,小伦锡(RMB)
LRP,小伦铅(RMB)
HSI_C,恒指看涨
HSI_P,恒指看跌
HHI_C,国企指数看涨
HHI_P,国企指数看跌
HKB,汇丰控股个股
HEX,港交所个股
TCH,腾讯控股个股
CCB,中国建行个股
CHT,中国移动个股
ICB,中国工行个股
PAI,中国平安保险个股
CSA,南方富时A50个股
A50,安硕富时A50个股
AMC,沪深300ETF个股
MCA_S,MSCI中国A50互联互通（美元）指数期货S
PEN,小鹏汽车个股
LAU,理想汽车个股
MCA,MSCI中国A50互联互通（美元）指数期货
BIU,百度个股
WXB,药明生物技术个股
JDH,京东健康股份个股
NTE,网易个股
MCS,小型人民币期货
HTI_C,恒生科技指数看涨
HTI_P,恒生科技指数看跌
KST,快手科技个股
EUA,碳排放配额
UHO,ICE取暖油
UHU,ICE RBOB汽油
W,白糖
C,伦敦可可
GAS,柴油
BRN_C,布油看涨
BRN_P,布油看跌
BRN_S,布兰特原油S
WBS,WTI原油
BRN,布兰特原油
RC,罗布斯塔咖啡
ATI,微型亚洲科技30指数
SMU,微型MSCI美国指数
BM,迷你布兰特
GM,迷你低硫柴油
TM,迷你WTI原油
SDX,迷你美元指数
CHM,迷你USD/CNH期货
nr,上海20号胶
sc,上海原油
lu,上海能源-低硫燃料油
bc,上海能源-国际铜
ec,上海能源-SCFIS欧线
JTM,迷你TOPIX
JGB_S,日本10年国债S
JGB,日本10年国债
Mini NK,迷你日经225
NK225,日经225
TOPIX,日本TOPIX
175,美元/韩元
176,日元/韩元
201,K200股指看涨
301,K200股指看跌
101,K200股指
119,起亚汽车个股
L-Z,富时100
FCE,CAC40
PB,伦铅
CA,伦铜
NI,伦镍
AH,伦铝
L-ZS,伦锌
SN,伦锡
HN,热轧卷板西北欧
L-SI,废钢印度
ST,废钢台湾
SR,螺纹钢
HC,热轧卷板中国
HU,热轧卷板北美
L-SC,废钢
DX_C,美指看涨
DX_P,美指看跌
CT_C,棉花看涨
CT_P,棉花看跌
KC_C,咖啡看涨
KC_P,咖啡看跌
SB_C,11号糖看涨
SB_P,11号糖看跌
FNG,FANG+指数
OJ_S,橙汁S
DX_S,美指S
SB,11号糖
OJ,橙汁
CC,可可
KC,咖啡
CT,棉花
DX,美指
CC_S,可可S
CT_S,棉花S
SB_S,11号糖S
KC_S,咖啡S
MME,迷你新兴指数
RS_S,油菜籽
RS,油菜籽
NY-bc,国际铜
NY-nr,20号胶
NY-sc,中质含硫原油
NY-lu,低硫燃料油
IR,澳90银行本票
IBA,IB30
S_AP,悉尼SPI200
UC,USD/CNH期货
CY,RMB/USD期货
CN_S,A50S
TF,20号标胶
